,Name,Tags,Unnamed: 2,Individual_Tags
0,Italian Garden McKinny,"Fine Dining, Date Night",,fine dining
0,Italian Garden McKinny,"Fine Dining, Date Night",,date night
1,Stop N Go Gyros McKinny,"Casual, Halal",,casual
1,Stop N Go Gyros McKinny,"Casual, Halal",,halal
2,Trinity Groves,"Date Night, Aesthetic",,date night
2,Trinity Groves,"Date Night, Aesthetic",,aesthetic
3,San Marzano,"Date Night, Aesthetic",,date night
3,San Marzano,"Date Night, Aesthetic",,aesthetic
4,Frida's Tacolandia,"Mexican, Casual",,mexican
4,Frida's Tacolandia,"Mexican, Casual",,casual
5,Mami Coco,"Mexican, Casual",,mexican
5,Mami Coco,"Mexican, Casual",,casual
6,Nuno's,"Casual, Vegan, Mexican, Healthy",,casual
6,Nuno's,"Casual, Vegan, Mexican, Healthy",,vegan
6,Nuno's,"Casual, Vegan, Mexican, Healthy",,mexican
6,Nuno's,"Casual, Vegan, Mexican, Healthy",,healthy
7,Zizikis,"Brunch, Casual",,brunch
7,Zizikis,"Brunch, Casual",,casual
8,Empire Baking Company,"Casual, Coffee, Bakery",,casual
8,Empire Baking Company,"Casual, Coffee, Bakery",,coffee
8,Empire Baking Company,"Casual, Coffee, Bakery",,bakery
9,S&Js Hot Chick,"Casual, Halal, Chicken",,casual
9,S&Js Hot Chick,"Casual, Halal, Chicken",,halal
9,S&Js Hot Chick,"Casual, Halal, Chicken",,chicken
10,MiYa Chinese,"Casual, Asian",,casual
10,MiYa Chinese,"Casual, Asian",,asian
11,Sura BBQ,"Casual, Asian",,casual
11,Sura BBQ,"Casual, Asian",,asian
12,Uncle Julio's,"Family, Mexican",,family
12,Uncle Julio's,"Family, Mexican",,mexican
13,Freebirds,"Family, Mexican, Casual",,family
13,Freebirds,"Family, Mexican, Casual",,mexican
13,Freebirds,"Family, Mexican, Casual",,casual
14,Taco Bueno,"Family, Mexican",,family
14,Taco Bueno,"Family, Mexican",,mexican
15,Big Guys Chicken and Rice,"Casual, Halal, Chicken",,casual
15,Big Guys Chicken and Rice,"Casual, Halal, Chicken",,halal
15,Big Guys Chicken and Rice,"Casual, Halal, Chicken",,chicken
16,One and Hana,"Spa/Self-care, Asian",,spa/self-care
16,One and Hana,"Spa/Self-care, Asian",,asian
17,Original Pancake House,"Casual, Family, Coffee, Brunch",,casual
17,Original Pancake House,"Casual, Family, Coffee, Brunch",,family
17,Original Pancake House,"Casual, Family, Coffee, Brunch",,coffee
17,Original Pancake House,"Casual, Family, Coffee, Brunch",,brunch
18,Okaeri Cafe,"Casual, Asian, Coffee",,casual
18,Okaeri Cafe,"Casual, Asian, Coffee",,asian
18,Okaeri Cafe,"Casual, Asian, Coffee",,coffee
19,Eat N dash,"Black-Owned, Casual, Soul/Southern Food",,black-owned
19,Eat N dash,"Black-Owned, Casual, Soul/Southern Food",,casual
19,Eat N dash,"Black-Owned, Casual, Soul/Southern Food",,soul/southern food
20,Bougie Boozy Bears,"Black-Owned, Casual, Entertainment, Wine/Cocktails/Drinks",,black-owned
20,Bougie Boozy Bears,"Black-Owned, Casual, Entertainment, Wine/Cocktails/Drinks",,casual
20,Bougie Boozy Bears,"Black-Owned, Casual, Entertainment, Wine/Cocktails/Drinks",,entertainment
20,Bougie Boozy Bears,"Black-Owned, Casual, Entertainment, Wine/Cocktails/Drinks",,wine/cocktails/drinks
21,The Reserve,"Casual, Mexican, Party, Hispanic",,casual
21,The Reserve,"Casual, Mexican, Party, Hispanic",,mexican
21,The Reserve,"Casual, Mexican, Party, Hispanic",,party
21,The Reserve,"Casual, Mexican, Party, Hispanic",,hispanic
22,TG SteakHouse,"Fine Dining, Date Night, Buffet, Aesthetic",,fine dining
22,TG SteakHouse,"Fine Dining, Date Night, Buffet, Aesthetic",,date night
22,TG SteakHouse,"Fine Dining, Date Night, Buffet, Aesthetic",,buffet
22,TG SteakHouse,"Fine Dining, Date Night, Buffet, Aesthetic",,aesthetic
23,Social Oak Lounge,"Wine/Cocktails/Drinks, Aesthetic, Date Night",,wine/cocktails/drinks
23,Social Oak Lounge,"Wine/Cocktails/Drinks, Aesthetic, Date Night",,aesthetic
23,Social Oak Lounge,"Wine/Cocktails/Drinks, Aesthetic, Date Night",,date night
24,GIllespie's,"Black-Owned, Casual, Entertainment, Wine/Cocktails/Drinks",,black-owned
24,GIllespie's,"Black-Owned, Casual, Entertainment, Wine/Cocktails/Drinks",,casual
24,GIllespie's,"Black-Owned, Casual, Entertainment, Wine/Cocktails/Drinks",,entertainment
24,GIllespie's,"Black-Owned, Casual, Entertainment, Wine/Cocktails/Drinks",,wine/cocktails/drinks
25,Yemandi,"Casual, Halal",,casual
25,Yemandi,"Casual, Halal",,halal
26,Drizl Coffee,"Casual, Halal, Coffee, Bakery",,casual
26,Drizl Coffee,"Casual, Halal, Coffee, Bakery",,halal
26,Drizl Coffee,"Casual, Halal, Coffee, Bakery",,coffee
26,Drizl Coffee,"Casual, Halal, Coffee, Bakery",,bakery
27,Urban Bird,"Casual, Halal, Chicken",,casual
27,Urban Bird,"Casual, Halal, Chicken",,halal
27,Urban Bird,"Casual, Halal, Chicken",,chicken
28,MOTW,"Bakery, Coffee, Desserts, Aesthetic, Halal",,bakery
28,MOTW,"Bakery, Coffee, Desserts, Aesthetic, Halal",,coffee
28,MOTW,"Bakery, Coffee, Desserts, Aesthetic, Halal",,desserts
28,MOTW,"Bakery, Coffee, Desserts, Aesthetic, Halal",,aesthetic
28,MOTW,"Bakery, Coffee, Desserts, Aesthetic, Halal",,halal
29,Dumpling House Plano,"Casual, Asian",,casual
29,Dumpling House Plano,"Casual, Asian",,asian
30,Turbo Coffee and Cocktails,"Casual, Coffee, Wine/Cocktails/Drinks",,casual
30,Turbo Coffee and Cocktails,"Casual, Coffee, Wine/Cocktails/Drinks",,coffee
30,Turbo Coffee and Cocktails,"Casual, Coffee, Wine/Cocktails/Drinks",,wine/cocktails/drinks
31,Arwa,"Aesthetic, Coffee, Halal",,aesthetic
31,Arwa,"Aesthetic, Coffee, Halal",,coffee
31,Arwa,"Aesthetic, Coffee, Halal",,halal
32,Donato's Pizza,Casual,,casual
33,Chi Tea,"Casual, Chicken, Halal",,casual
33,Chi Tea,"Casual, Chicken, Halal",,chicken
33,Chi Tea,"Casual, Chicken, Halal",,halal
34,The Comedy Arena,"Casual, Entertainment, Family, Date Night",,casual
34,The Comedy Arena,"Casual, Entertainment, Family, Date Night",,entertainment
34,The Comedy Arena,"Casual, Entertainment, Family, Date Night",,family
34,The Comedy Arena,"Casual, Entertainment, Family, Date Night",,date night
35,Paris Baguette Allen,"Casual, Asian, Bakery, Coffee",,casual
35,Paris Baguette Allen,"Casual, Asian, Bakery, Coffee",,asian
35,Paris Baguette Allen,"Casual, Asian, Bakery, Coffee",,bakery
35,Paris Baguette Allen,"Casual, Asian, Bakery, Coffee",,coffee
36,Can Am Pizza,Casual,,casual
37,The Local Open,"Casual, Entertainment, Family",,casual
37,The Local Open,"Casual, Entertainment, Family",,entertainment
37,The Local Open,"Casual, Entertainment, Family",,family
38,Rocky Creek Candle Company,"Entertainment, Date Night",,entertainment
38,Rocky Creek Candle Company,"Entertainment, Date Night",,date night
39,Collective Coffee,"Coffee, Bakery",,coffee
39,Collective Coffee,"Coffee, Bakery",,bakery
40,B&B Cafe,"Coffee, Bakery, Brunch",,coffee
40,B&B Cafe,"Coffee, Bakery, Brunch",,bakery
40,B&B Cafe,"Coffee, Bakery, Brunch",,brunch
41,Piatelo,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,fine dining
41,Piatelo,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,date night
41,Piatelo,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,aesthetic
41,Piatelo,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,wine/cocktails/drinks
42,Walloon's,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,fine dining
42,Walloon's,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,date night
42,Walloon's,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,aesthetic
42,Walloon's,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,wine/cocktails/drinks
43,Clay Pigeon,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,fine dining
43,Clay Pigeon,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,date night
43,Clay Pigeon,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,aesthetic
43,Clay Pigeon,"Fine Dining, Date Night, Aesthetic, Wine/Cocktails/Drinks",,wine/cocktails/drinks
44,Big Guys Bodega,Casual,,casual
45,RT Bakery,"Coffee, Desserts, Casual, Asian",,coffee
45,RT Bakery,"Coffee, Desserts, Casual, Asian",,desserts
45,RT Bakery,"Coffee, Desserts, Casual, Asian",,casual
45,RT Bakery,"Coffee, Desserts, Casual, Asian",,asian
46,Milkshake Factory,"Coffee, Desserts, Casual",,coffee
46,Milkshake Factory,"Coffee, Desserts, Casual",,desserts
46,Milkshake Factory,"Coffee, Desserts, Casual",,casual
47,Daiquiri Chicken and Waffles,"Black-Owned, Casual, Soul/Southern Food",", ",black-owned
47,Daiquiri Chicken and Waffles,"Black-Owned, Casual, Soul/Southern Food",", ",casual
47,Daiquiri Chicken and Waffles,"Black-Owned, Casual, Soul/Southern Food",", ",soul/southern food
48,Chama Gaucha,"Fine Dining, Date Night, Aesthetic",,fine dining
48,Chama Gaucha,"Fine Dining, Date Night, Aesthetic",,date night
48,Chama Gaucha,"Fine Dining, Date Night, Aesthetic",,aesthetic
49,Taqueria Taco Express,"Mexican, Desserts, Casual",,mexican
49,Taqueria Taco Express,"Mexican, Desserts, Casual",,desserts
49,Taqueria Taco Express,"Mexican, Desserts, Casual",,casual
50,Amore The Colony,"Casual, Aesthetic",,casual
50,Amore The Colony,"Casual, Aesthetic",,aesthetic
51,Parlor Donuts,Casual,,casual
52,VB Steakhouse,Fine Dining,,fine dining
